t,x_cubeOne(t),x_cubeTwo(t),v_cubeOne(t),v_cubeTwo(t),p_cubeOne(t),p_cubeTwo(t)
0.2819999,1.80981,-4.35,0.1405,0,0.2809999,0
0.2829999,1.809951,-4.35,0.141,0,0.2819999,0
0.2839999,1.810093,-4.35,0.1415,0,0.2829999,0
0.2849999,1.810235,-4.35,0.1419999,0,0.2839999,0
0.2859999,1.810377,-4.35,0.1424999,0,0.2849999,0
0.2869999,1.81052,-4.35,0.1429999,0,0.2859999,0
0.2879998,1.810664,-4.35,0.1434999,0,0.2869999,0
0.2889998,1.810808,-4.35,0.1439999,0,0.2879998,0
0.2899998,1.810952,-4.35,0.1444999,0,0.2889998,0
0.2909998,1.811097,-4.35,0.1449999,0,0.2899998,0
0.2919998,1.811243,-4.35,0.1454999,0,0.2909998,0
0.2929998,1.811389,-4.35,0.1459999,0,0.2919998,0
0.2939998,1.811535,-4.35,0.1464999,0,0.2929998,0
0.2949997,1.811682,-4.35,0.1469999,0,0.2939998,0
0.2959997,1.81183,-4.35,0.1474999,0,0.2949997,0
0.2969997,1.811978,-4.35,0.1479999,0,0.2959997,0
0.2979997,1.812127,-4.35,0.1484999,0,0.2969997,0
0.2989997,1.812276,-4.35,0.1489999,0,0.2979997,0
0.2999997,1.812425,-4.35,0.1494998,0,0.2989997,0
0.3009997,1.812575,-4.35,0.1499998,0,0.2999997,0
0.3019997,1.812725,-4.35,0.1504998,0,0.3009997,0
0.3029996,1.812876,-4.35,0.1509998,0,0.3019997,0
0.3039996,1.813028,-4.35,0.1514998,0,0.3029996,0
0.3049996,1.81318,-4.35,0.1519998,0,0.3039996,0
0.3059996,1.813332,-4.35,0.1524998,0,0.3049996,0
0.3069996,1.813485,-4.35,0.1529998,0,0.3059996,0
0.3079996,1.813639,-4.35,0.1534998,0,0.3069996,0
0.3089996,1.813793,-4.35,0.1539998,0,0.3079996,0
0.3099996,1.813947,-4.35,0.1544998,0,0.3089996,0
0.3109995,1.814102,-4.35,0.1549998,0,0.3099996,0
0.3119995,1.814258,-4.35,0.1554998,0,0.3109995,0
0.3129995,1.814414,-4.35,0.1559998,0,0.3119995,0
0.3139995,1.81457,-4.35,0.1564998,0,0.3129995,0
0.3149995,1.814727,-4.35,0.1569998,0,0.3139995,0
0.3159995,1.814885,-4.35,0.1574997,0,0.3149995,0
0.3169995,1.815043,-4.35,0.1579997,0,0.3159995,0
0.3179995,1.815201,-4.35,0.1584997,0,0.3169995,0
0.3189994,1.81536,-4.35,0.1589997,0,0.3179995,0
0.3199994,1.81552,-4.35,0.1594997,0,0.3189994,0
0.3209994,1.81568,-4.35,0.1599997,0,0.3199994,0
0.3219994,1.81584,-4.35,0.1604997,0,0.3209994,0
0.3229994,1.816001,-4.35,0.1609997,0,0.3219994,0
0.3239994,1.816163,-4.35,0.1614997,0,0.3229994,0
0.3249994,1.816325,-4.35,0.1619997,0,0.3239994,0
0.3259993,1.816487,-4.35,0.1624997,0,0.3249994,0
0.3269993,1.81665,-4.35,0.1629997,0,0.3259993,0
0.3279993,1.816814,-4.35,0.1634997,0,0.3269993,0
0.3289993,1.816978,-4.35,0.1639997,0,0.3279993,0
0.3299993,1.817142,-4.35,0.1644997,0,0.3289993,0
0.3309993,1.817307,-4.35,0.1649996,0,0.3299993,0
0.3319993,1.817473,-4.35,0.1654996,0,0.3309993,0
0.3329993,1.817639,-4.35,0.1659996,0,0.3319993,0
0.3339992,1.817806,-4.35,0.1664996,0,0.3329993,0
0.3349992,1.817973,-4.35,0.1669996,0,0.3339992,0
0.3359992,1.81814,-4.35,0.1674996,0,0.3349992,0
0.3369992,1.818308,-4.35,0.1679996,0,0.3359992,0
0.3379992,1.818476,-4.35,0.1684996,0,0.3369992,0
0.3389992,1.818645,-4.35,0.1689996,0,0.3379992,0
0.3399992,1.818815,-4.35,0.1694996,0,0.3389992,0
0.3409992,1.818985,-4.35,0.1699996,0,0.3399992,0
0.3419991,1.819155,-4.35,0.1704996,0,0.3409992,0
0.3429991,1.819326,-4.35,0.1709996,0,0.3419991,0
0.3439991,1.819498,-4.35,0.1714996,0,0.3429991,0
0.3449991,1.81967,-4.35,0.1719996,0,0.3439991,0
0.3459991,1.819842,-4.35,0.1724996,0,0.3449991,0
0.3469991,1.820015,-4.35,0.1729995,0,0.3459991,0
0.3479991,1.820189,-4.35,0.1734995,0,0.3469991,0
0.3489991,1.820363,-4.35,0.1739995,0,0.3479991,0
